group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > slatedb::db_iter::DbIterator::new::{{closure}},20,0.00098,640
Other preparation,<slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,320
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next > slatedb::db_iter::DbIterator::next_entry::{{closure}},20,0.00098,640
Other preparation,<slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,640
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next > <slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,640
Other preparation,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,800
Other preparation,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,320
Other preparation,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,320
Other preparation,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
