group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}}",20,0.00098,320
Other preparation,slatedb::mem_table::KVTable::range > core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut,20,0.00098,160
Other preparation,"core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut > <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter",20,0.00098,5760
Other preparation,slatedb::segment_iterator::build_segment_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}},20,0.00098,1280
Other preparation,slatedb::db_iter::GetIterator::new > slatedb::db_iter::DbIterator::new::{{closure}},20,0.00098,320
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::db_iter::GetIterator::new",20,0.00098,960
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > slatedb::db_iter::DbIterator::new::{{closure}},20,0.00098,640
Other preparation,<slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::merge_operator::MergeOperatorRequiredIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,320
Other preparation,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,800
Other preparation,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,320
Other preparation,<slatedb::batch::WriteBatchIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,320
Other preparation,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,640
Other preparation,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,320
Other preparation,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,800
